,Title,modularity_class
672,Single-switch high step-up dc-dc converter with a resonant voltage doubler and low duty ratio,2
673,An accurate weight binarization method for a CNN object detector using double scaling factors,16
674,Influence of the source of intention to move on readiness potential of brain waves,22
675,Overall Torque Ripple Reduction by Constant Band Hysteresis Current Controller with Back EMF Phase Shift Error Compensator in BLDC Motor Drive,2
676,An on-demand scrubbing solution for read disturbance error in phase-change memory,15
677,Transient Liquid Phase Bonding Process Using Sn-coated Cu Dendritic Particles,21
678,Design process of square column-shaped voice coil motor for magnetic levitation stage,2
679,Shift-And-Decorrelate Lifting: CAMRA for Lossless Intra Frame CFA Video Compression,15
680,Determination and daily intake estimation of lignans in sesame seeds and sesame oil products in Korea,22
681,Adaptive transmission repetition and combining in bistatic WiFi backscatter communications,4
682,A study on evaluation measures for unsupervised outlier detection,4
683,Stochastic computing based AI system for mobile devices,15
684,Reinforcement Learning Based Interference Control Scheme in Heterogeneous Networks,4
685,Quality characteristics of beer with pine bark extract,22
686,Redundancy Analysis and Elimination on Access Patterns of the Windows Applications Based on I/O Log Data,4
687,A non-intrusive speech intelligibility estimation method based on deep learning using autoencoder features,4
688,Estimation of States and Parameters with Dual Extended Kalman Filters for Active Roll Control,21
689,Relationships of physical activity with the transtheoretical model constructs among Korean adults,22
690,Separate track impact factor application depending on track types through correlative analysis with track support stiffness,2
691,Evaluation of Section Speed Enforcement System Using Empirical Bayes Approach and Turning Point Analysis,2
692,Motion planning of robot manipulators for a smoother path using a twin delayed deep deterministic policy gradient with hindsight experience replay,4
693,Interfacial and electrical properties of nanolaminated HfO2/Al2O3 dielectrics on GaN with an AlN interlayer,21
694,Study on evaluation method of flow characteristics in steady flow bench(7) - Torque distribution along radial direction(1),8
695,Fluid Permeability of Ground Steel Slag-Blended Composites Evaluated by Pore Structure,9
696,Secure secondary authentication framework for efficient mutual authentication on a 5g data network,15
697,A Robust Frequency-Adaptive Current Control of a Grid-Connected Inverter Based on LMI-LQR under Polytopic Uncertainties,2
698,Cloud services and pricing strategies for sustainable business models: Analytical and numerical approaches,5
699,An improved power management strategy for MAS-Based distributed control of DC microgrid under communication network problems,2
700,Staircase echo-channel acoustofluidic device for cell position control,8
701,Modeling and simulation of collision-causing derailment to design the derailment containment provision using a simplified vehicle model,2
702,Secure D2D communication for 5G IoT network based on lightweight cryptography,15
703,Interaction of genetic background and exercise training intensity on endothelial function in mouse aorta,22
704,MPC-Based Power Management of Renewable Generation Using Multi-ESS Guaranteeing SoC Constraints and Balancing,2
705,Effect of Ag Concentration Dispersed in HfOx Thin Films on Threshold Switching,9
706,Groupwise neighbor examination for tabu search detection in large MIMO systems,4
707,Influence of patriarchal sex-role attitudes on perpetration of dating violence,22
708,Size dependency of a ZnO nanorod-based piezoelectric nanogenerator evaluated by conductive atomic force microscopy,9
709,"Effects of lactobacillus plantarum Q180 on postprandial lipid levels and intestinal environment: A double-blind, randomized, placebo-controlled, parallel trial",22
710,Carbon supported palladium-copper bimetallic catalysts for promoting electrochemical oxidation of formic acid and its utilization in direct formic acid fuel cells,9
711,Atomic layer deposition of AlGaN on GaN and current transport mechanism in AlGaN/GaN schottky diodes,21
712,Economic benefits of introducing LNG-fuelled ships for imported flour in South Korea,5
713,Multi-frame based homography estimation for video stitching in static camera environments,4
714,Investigation of phases and chemical states of tin titanate films grown by atomic layer deposition,9
715,Tabulated solutions of stress intensity factor and elastic crack opening displacement for elbow joints with practical through-wall cracks,13
716,3D printing of bio-based polycarbonate and its potential applications in ecofriendly indoor manufacturing,8
717,A Proposal of IoT Message-Oriented Service Framework for Serverless Software Architecture,15
718,Machine Learning-Based Intrusion Detection System for Smart City,15
719,A Development of Advanced Communication Platform (ACP) Using Web-AR,15
720,Blockchain Based Integrated Authentication System,15
721,Collective viscosity model for shear thinning polymeric materials,8
722,Cognitive Science-Based Security Framework in Consumer Electronics,15
723,Efficient valuation of a variable annuity contract with a surrender option,5
724,"Development and structure-activity relationship study of SHP2 inhibitor containing 3,4,6-trihydroxy-5-oxo-5H-benzo[7]annulene",22
725,Analysis of interactions between cinnamycin and biomimetic membranes,9
726,Automated procedure for estimating VS30 utilizing P-wave seismograms and its application to Japan,17
727,Active Balancing Control for Unmanned Bicycle Using Scissored-pair Control Moment Gyroscope,2
728,"Versatile biotechnological applications of amylosucrase, a novel glucosyltransferase",22
729,A family of ZVT DC-DC converters with low-voltage ringing,2
730,Compact Wideband Internal Antenna Using Epsilon Negative Zeroth-Order Resonator With CPWG-Fed for UHD-TV Applications,29
731,Lithium storage kinetics of highly conductive F-doped SnO2 interfacial layer on lithium manganese oxide surface,9
732,A Low-Cost and High-Throughput FPGA Implementation of the Retinex Algorithm for Real-Time Video Enhancement,16
733,Design guidelines for the striker and transfer flange of a split Hopkinson tension bar and the origin of spurious waves,13
734,Reliable Blockchain Based Stochastic Game System,15
735,Deep Learning Based IoT Re-authentication for Botnet Detection and Prevention,15
736,Performance evaluation of laser shock micro-patterning process on aluminum surface with various process parameters and loading schemes,8
737,Cognitive scenario generation computing in the Internet of things for enterprise information systems,4
738,Automatic design of 3D lightweight structures based on finite element mesh,8
739,The effects of a physical inactivity-related health risk message intervention on changes in risk perceptions and physical activity in middle-aged women,22
740,Dual deep learning networks based load forecasting with partial real-time information and its application to system marginal price prediction,4
741,"Direct electrochemistry of lactate dehydrogenase in aqueous solution system containing L(+)-lactic acid, β-nicotinamide adenine dinucleotide, and its reduced form",9
742,Ultrathin Atomic Layer-Deposited CeO2 Overlayer for High-Performance Fuel Cell Electrodes,9
743,How climate scenarios alter future predictions of field-scale water and nitrogen dynamics and crop yields,17
744,High performance yeast-based microbial fuel cells by surfactant-mediated gold nanoparticles grown atop a carbon felt anode,9
745,Micro-patterned membranes with enzymatic quorum quenching activity to control biofouling in an MBR for wastewater treatment,9
746,Comparison of heat-pipe cooling system design processes in railway propulsion inverter considering power module reliability,13
747,Rapid and precise characterization of sub-µm surface defects using laser scatterometer devising a polygonal-shaped waveguide with double-slit aperture,16
748,Synthesis of Heteroatom Rh-ReOx Atomically Dispersed Species on Al2O3 and Their Tunable Catalytic Reactivity in Ethylene Hydroformylation,9
749,A novel thiophene-based fluorescent chemosensor for the detection of Zn2+ and Cn−: Imaging applications in live cells and Zebrafish,16
750,Analysing the dynamics of technological convergence using a co-classification approach: a case of healthcare services,15
751,Light-weight design of automotive shock tower mounting bracket by using computer aided engineering,8
752,Enhancement of motion feedback latency for wireless virtual reality in IEEE 802.11 WLANs,4
753,Effect of one way reinforced concrete slab characteristics on structural response under blast loading,13
754,Commutation Torque Ripple Minimization for Three Phase BLDC Motor Drive using A Simple PWM Scheme Reliable to Motor Parameter Variation,2
755,Power Efficiency Analysis of a Three-phase Inverter for a BLDC Motor Drive with Varying Speeds and Load Torques,2
756,"Analysis of Torque Ripple and its Peak Value, if any Phase Current Shift error, for BLDC Motor Drive",2
757,Evaluating the spatiotemporal characteristics of agricultural drought in bangladesh using effective drought index,17
758,Modifications of structural and optical properties of copper oxide thin films by thermal annealing,9
759,Renewable energy generation assessment in terms of small-signal stability,2
760,Spatial shift of aridity and its impact on land use of Syria,17
761,Case study: Effectiveness of a sketch learning model for engineering students,4
762,Inertial focusing in a parallelogram profiled microchannel over a range of aspect ratios,8
763,Influence of surface water bodies on the land surface temperature of Bangladesh,17
764,An optimal purchase decision of reusable packaging in the automotive industry,5
765,Facile fabrication and photocatalytic activity of Ag/AgI/rGO films,9
766,Oil leakage evaluation for selection of emulsion-based non-curable synthetic polymer rubberized gel (ENC-SPRG) as waterproofing material in underground structures,30
767,"Classifying achievements and interests, usefulness types in science and an investigation of influencing factors",17
768,Hybrid marketing channel strategies of a manufacturer in a supply chain: game theoretical and numerical approaches,15
769,Effects of laser parameters on morphological change and surface properties of aluminum alloy in masked laser surface texturing,8
770,"Author Correction: Synthesis of MgAC-Fe3O4/TiO2 hybrid nanocomposites via sol-gel chemistry for water treatment by photo-Fenton and photocatalytic reactions (Scientific Reports, (2019), 9, 1, (11855), 10.1038/s41598-019-48398-5)",17
771,Enhanced immobilization of Prussian blue through hydrogel formation by polymerization of acrylic acid for radioactive cesium adsorption,9
772,A selective sulphur-containing colorimetric chemosensor for Cu2+,15
773,Fabrication of anisotropic wetting surface with asymmetric structures using geometrical similarity and capillary force,8
774,"Layered composite membranes based on porous PVDF coated with a thin, dense PBI layer for vanadium redox flow batteries",9
775,"Mononuclear manganese(III) complex with a monodeprotonated N-(2-pyridylmethyl)iminodiisopropanol ligand: synthesis, crystal structure, and catalytic properties",9
776,The efficient mixed matrix antifouling membrane for surfactant stabilized oil-in-water nanoemulsion separation,9
777,A parallel team formation approach using crowd intelligence from social network,15
778,"Influence of ripening stage and cultivar on physicochemical properties, sugar and organic acid profiles, and antioxidant compositions of strawberries",22
779,Development of a fully automated desktop chemical vapor deposition system for programmable and controlled carbon nanotube growth,8
780,Synthesis of MgAC-Fe3O4/TiO2 hybrid nanocomposites via sol-gel chemistry for water treatment by photo-Fenton and photocatalytic reactions,22
781,Integration and Boost of a Read-Modify-Write Module in Phase Change Memory System,15
782,CIoT-Net: a scalable cognitive IoT based smart city network architecture,15
783,Internal fork-shaped wideband monopole antenna with a parasitic sleeve for ultra-high-definition television applications,29
784,Pneumatic actuator and flexible piezoelectric sensor for soft virtual reality glove system,15
785,Synergistic mechanisms of Sanghuang–Danshen phytochemicals on postprandial vascular dysfunction in healthy subjects: A network biology approach based on a clinical trial,22
786,Process and characterization of photo-definable organic–inorganic dielectric for wafer level packaging,9
787,Analysis of Bootstrap Circuit Operation with an Inverted PWM Drive Scheme for a Three-Phase Inverter for a Brushless DC Motor Drive,2
788,Analysis of the Three-Phase Inverter Power Efficiency of a BLDC Motor Drive Using Conventional Six-Step and Inverted Pulsewidth Modulation Driving Schemes,2
789,Nanopore sequencing reads improve assembly and gene annotation of the Parochlus steinenii genome,34
790,Design and analysis of an effective graphics collaborative editing system,34
791,Evaluation of the Floor Impact Sound Insulation Performance of a Voided Slab System Applied to a High-Rise Commercial Residential-Complex Building,13
792,Creativity and simultaneous interpretation—the two shall never meet?,22
793,Optically transparent sea-water monopole antenna with high radiation efficiency for WLAN applications,29
794,Numerical study on aerodynamic drag reduction and energy harvest for electric vehicle: A concept to extend driving range,2
795,Selection of multi-model ensemble of general circulation models for the simulation of precipitation and maximum and minimum temperature based on spatial assessment metrics,17
796,An adaptive material point method coupled with a phase-field fracture model for brittle materials,13
797,Influence of ripening stage and cultivar on physicochemical properties and antioxidant compositions of aronia grown in South Korea,22
798,A blockchain-based trusted security zone architecture,15
799,Two-stage computation offloading scheduling algorithm for energy-harvesting mobile edge computing,15
800,Plasma-Doped Si Nanosheets for Transistor and p-n Junction Application,9
801,Scotogenic dark matter stability from gauged matter parity,26
802,Frequency adaptive current control scheme for grid-connected inverter without grid voltage sensors based on gradient steepest descent method,2
803,Taurine activates bmp-2/wnt3a-mediated osteoblast differentiation and mineralization via akt and mapk signaling,5
804,Monitoring Railway Turnout using its Moving Traces,2
805,A Study on Life Cycle Cost on Railway Switches and Crossings,2
806,Non-isothermal simulation of a two-lumen catheter tubing extrusion for a die design,8
807,Air venting simulation for multiphase flow of polymers and air in the cavity of a mold,8
808,Adaptive threshold-aided K-best sphere decoding for large MIMO systems,4
809,Energy-efficient hybrid beamforming with variable and constant phase shifters,15
810,Price elasticity of heat demand in South Korean Manufacturing Sector: An empirical investigation,5
811,High-frequency induction heating for increase of flow length in polymer/metal hybrid molding,8
812,What enables a high-risk project to yield high return from a construction contractor's perspective?,5
813,Minimization of Surface Deflection in Rectangular Embossing Using Automatic Training of Artificial Neural Network and Genetic Algorithm,13
814,Dissections of Strange q-Series,34
815,Synthesis conditions of porous clay heterostructure (PCH) optimized for volatile organic compounds (VOC) adsorption,9
816,Interfacial shear rheology of perfluorosulfonic acid ionomer monolayers at the air/water interface,21
817,Evaluation of RANS k – ε calculations for turbulent stably stratified layers based on GEMIX experiments using the CUPID code,4
818,Internal Reconfigurable Dipole–Loop Antenna Array for High Reception Rate of Wideband UHD-TV Applications,29
819,Development of a decision support model for determining the target multi-family housing complex for green remodeling using data mining techniques,5
820,Iron-vanadium redox flow batteries with polybenzimidazole membranes: High coulomb efficiency and low capacity loss,9
821,Least-square Matching for Mobile Robot SLAM Based on Line-segment Model,16
822,Pricing European continuous-installment strangle options,5
823,Prediction of bond performance of tension lap splices using artificial neural networks,13
824,Semi-supervised distributed representations of documents for sentiment analysis,4
825,Photochemical release of dissolved organic matter from particulate organic matter: Spectroscopic characteristics and disinfection by-product formation potential,22
826,"Correction to: Two-dimensional indexing to provide one-integrated-memory view of distributed memory for a massively-parallel search engine (World Wide Web, (2019), 22, 6, (2437-2467), 10.1007/s11280-018-0647-1)",34
827,Two-dimensional indexing to provide one-integrated-memory view of distributed memory for a massively-parallel search engine,34
828,Role of borate functionalized carbon nanotube catalyst for the performance improvement of vanadium redox flow battery,9
829,"Tris(1,3-dichloro-2-propyl)phosphate (TDCIPP) disrupts zebrafish tail fin development",16
830,Optimization of experimental conditions and measurement of oxygen consumption rate (OCR) in zebrafish embryos exposed to organophosphate flame retardants (OPFRs),16
831,Analysis of plasma metabolic profiling and evaluation of the effect of the intake of Angelica keiskei using metabolomics and lipidomics,22
832,Coordinated power flow control of DC microgrid consisting of distributed generations and energy storage system,2
833,Visible light driven photocatalytic degradation enhanced by α/β phase heterojunctions on electrospun Bi2O3 nanofibers,9
834,Tensile and fracture behaviors of austenitic high-manganese steels subject to different hydrogen embrittlement test methods,13
835,"Radiative Dirac neutrino mass, neutrinoless quadruple beta decay, and dark matter in B-L extension of the standard model",26
836,Magnesiophilic Graphitic Carbon Nanosubstrate for Highly Efficient and Fast-Rechargeable Mg Metal Batteries,9
837,"Tailored Nanopatterning by Controlled Continuous Nanoinscribing with Tunable Shape, Depth, and Dimension",8
838,Evaluation of stress on metal surfaces by laser-induced breakdown spectroscopy,13
839,"Sequential Multiple-Target Sensor: In3+, Fe2+, and Fe3+ Discrimination by an Anthracene-Based Probe",34
840,An Implantable Antenna with Broadside Radiation for a Brain-Machine Interface,29
841,Pairs of eta-quotients with dual weights and their applications,22
842,Selective chemosensor capable of sensing both CN− and Zn2+: Its application to zebrafish,16
843,Optimization and characterization of high-viscosity ZrO2 ceramic nanocomposite resins for supportless stereolithography,8
844,Affective social big data generation algorithm for autonomous controls by CRNN-based end-to-end controls,16
845,Waterproofing performance of waterstop with adhesive bonding used at joints of underground concrete structures,34
846,Structural insights into the combinatorial effects of antimicrobial peptides reveal a role of aromatic-aromatic interactions in antibacterial synergism,22
847,Global Proteomic Analysis of Lysine Succinylation in Zebrafish (Danio rerio),22
848,The impacts of diversity on team innovation and the moderating effects of cooperative team culture,5
849,Compact broadband internal monopole antenna with parasitic strips and sleeve feed for UHD-TV applications,29
850,Effects of Argon and Nitrogen ion Bombardments on Sputtered and Electroplated Cu Surfaces for Cu Bonding Application,21
851,Characterization of Nitride Passivated Cu Surface for Low-Temperature Cu-Cu Bonding,21
852,Summarizing long-length videos with GAN-enhanced audio/visual features,4
853,Gaussian YOLOv3: An accurate and fast object detector using localization uncertainty for autonomous driving,16
854,Review on process-microstructure-performance relationship in ALD-engineered SOFCs,9
855,An effective DRAM address remapping for mitigating rowhammer errors,15
856,Interleaved ZVT boost converter for 800V fuel cell electric vehicles,2
857,Fabrication of activated porous carbon using polymer decomposition for electrical double-layer capacitors,9
858,Optimization of MOF-235 synthesis by analysis of statistical design of experiment,22
859,Robust adaptive heading control for a ray-type hybrid underwater glider with propellers,2
860,Resource utilization scheme of idle virtual machines for multiple large-scale jobs based on OpenStack,15
861,Optimal stream gauge network design using entropy theory and importance of stream gauge stations,17
862,Two-Stage IoT Device Scheduling with Dynamic Programming for Energy Internet Systems,4
863,"Prediction of concrete strength with P-, S-, R-wave velocities by support vector machine (SVM) and artificial neural network (ANN)",13
864,Development of micropatterns on curved surfaces using two-step ultrasonic forming,8
865,Effect of temperature on the performance of aqueous redox flow battery using carboxylic acid functionalized alloxazine and ferrocyanide redox couple,9
866,Antithrombotic Effect of Artemisia princeps Pampanini Extracts in Vitro and in FeCl3-Induced Thrombosis Rats,22
867,"Erratum to: “Numerical investigation of the transferability of ductile fracture behavior between thin-walled surface-cracked pipe, curved wide plate (CWP) and single edge notched tension (SENT) specimens” (Journal of Mechanical Science and Technology, (2019), 33, 9, (4233-4243), 10.1007/s12206-019-0820-1)",13
868,A regulated multiple-output high-voltage charge pump IC for implantable neural stimulators,2
869,Effect of Earthquake Motion on The Permanent Displacement of Embankment Slopes,4
870,Silver and epoxy binder-based printed electrodes and the effect of silver nanoparticles on stretchability,9
871,Proposal of 28 GHz In Vitro Exposure System Based on Field Uniformity for Three-Dimensional Cell Culture Experiments,29
872,Naphthol-naphthalimide based ‘turn-on’ fluorescent sensor for ClO− in aqueous media and test kit,22
873,Sliding Interconnection for Flexible Electronics with a Solution-Processed Diffusion Barrier against a Corrosive Liquid Metal,13
874,Numerical Verification of the Schroeder-Webster Surface Types and Friction Compensation Models for a Metallic Specimen in Axisymmetric Compression Test,21
875,Gait Training Algorithm of an End-Effector Typed Hybrid Walking Rehabilitation Robot,16
876,HITEP-RCC-MRx Program for the Support of Elevated Temperature Design Evaluation and Defect Assessment,13
877,BlockSecIoTNet: Blockchain-based decentralized security architecture for IoT network,15
878,Social acceptance of offshore wind energy development in South Korea: Results from a choice experiment survey,5
879,Failure analysis of die casting pins for an aluminum engine block,8
880,System theory based hazard analysis for construction site safety: A case study from Cameroon,5
881,Selection of CMIP5 multi-model ensemble for the projection of spatial and temporal variability of rainfall in peninsular Malaysia,17
882,Sparse large-margin nearest neighbor embedding via greedy dyad functional optimization,4
883,Spatial distribution of secular trends in rainfall indices of Peninsular Malaysia in the presence of long-term persistence,17
884,"The development of a highly stretchable, durable, and printable textile electrode",9
885,Development of a Lower Limb Exoskeleton Worn on the Front of a Human,2
886,Nitrogen passivation formation on Cu surface by Ar–N2 plasma for Cu-to-Cu wafer stacking application,21
887,Paper-Based Diagnostic System Facilitating Escherichia coli Assessments by Duplex Coloration,16
888,Flexible Visible-Blind Ultraviolet Photodetectors Based on ZnAl-Layered Double Hydroxide Nanosheet Scroll,29
889,Treatments of the singularity in the level set method for unstructured meshes,8
890,Feasibility study on the wide and long 9%Ni steel plate for use in the LNG storage inner tank shell,13
891,Low-Temperature Sintering Characteristics of Ag-Based Complex Inks Using Transient Melting and Joining of Sn–58Bi Nanoparticles,9
892,Wearable Piezoresistive Sensors with Ultrawide Pressure Range and Circuit Compatibility Based on Conductive-Island-Bridging Nanonetworks,8
893,Facile Synthesis of UiO-66(Zr) Using a Microwave-Assisted Continuous Tubular Reactor and Its Application for Toluene Adsorption,9
894,New opportunities for sociological research: A discussion of the usefulness of mixed methods with data science,15
895,Effects of the projectile geometries on normal and oblique penetration using the finite cavity pressure method,8
896,Development of a High Power Density GaN-based Transistor Low-Voltage High-Current Phase-Shift Full-Bridge Current Doubler Converter for Electric Vehicles,2
897,"Failure analysis of thermally abused lithium-ion battery cell by microscopy, electrochemical impedance spectroscopy, and acoustic emission",13
898,Evaluation of health and safety of mechanically fatigued rechargeable lithium polymer batteries for flexible electronics applications,13
899,Effects of power cycling test condition and test strategy on lifetime estimation of power modules in power electronic systems,2
900,Conception of smart home perimeter security system based on solar powered IoT solutions,15
901,Design and implementation procedure for an advanced driver assistance system based on an open source AUTOSAR,15
902,"Numerical investigation of the transferability of ductile fracture behavior between thin-walled surface-cracked pipe, curved wide plate (CWP) and single edge notched tension (SENT) specimens",13
903,"Fast implementations of ARX-based lightweight block ciphers (SPARX, CHAM) on 32-bit processor",15
904,Demand function for industrial electricity: Evidence from South Korean manufacturing sector,5
905,Constructing a lightweight key-value store based on the windows native features,4
906,A lightweight hash-based blockchain architecture for industrial IoT,15
907,Handover-driven interference management for co-channel deployment of femto- and macro-cells,4
908,A Comprehensive Design Framework for Network-Wide Cost Reduction in Random Access-Based Wireless IoT Networks,15
909,A New Method to Minimize Overall Torque Ripple in the Presence of Phase Current Shift Error for Three-Phase BLDC Motor Drive,2
910,Expression Profiles and Post-Translational Modifications of Phosphoenolpyruvate Carboxylase Isozymes of Bienertia sinuspersici during Leaf Development,22
911,Impact of cooling system capacity on lifetime of power module in adjustable speed drives,2
912,Economic output-maximizing share of combined heat and power generation: The case of South Korea,5
913,Maternal exposures to persistent organic pollutants are associated with DNA methylation of thyroid hormone-related genes in placenta differently by infant sex,16
914,Willingness to participate in community-based renewable energy projects: A contingent valuation study in South Korea,5
915,Bandwidth and directivity enhancement of an internal folded monopole antenna loaded by interdigital capacitor for ultra-high-definition television applications,29
916,Tri(Fe/N/F)-doped mesoporous carbons as efficient electrocatalysts for the oxygen reduction reaction,9
917,Effects of Sb-doped SnO2–WO3 nanocomposite on electrochromic performance,9
918,Effects of moisture and electrode material on AlN-based resistive random access memory,9
919,Cryoprotective effect of an antifreeze protein purified from Tenebrio molitor larvae on vegetables,22
920,A MCDM-based framework for selection of general circulation models and projection of spatio-temporal rainfall changes: A case study of Nigeria,17
921,Adaptive job allocation scheduler based on usage pattern for computing offloading of IoT,34
922,A humidity-sensing composite microfiber based on moisture-induced swelling of an agarose polymer matrix,8
923,Effects of community integration on quality of life among Asian Americans,5
924,R2 as a single leptoquark solution to RD (∗) and RK (∗),34
925,Role of Aldosterone and Mineralocorticoid Receptor in Cardiovascular Aging,22
926,Performance enhancement of triboelectric nanogenerators based on polyvinylidene fluoride/graphene quantum dot composite nanofibers,2
927,Sodium dodecyl sulfate mediated microwave synthesis of biocompatible superparamagnetic mesoporous hydroxyapatite nanoparticles using black Chlamys varia seashell as a calcium source for biomedical applications,9
928,Optimal Concurrent Multipath Data Transfer for Bandwidth Aggregation in Heterogeneous Mobile Networks,29
929,Si Surface Passivation by Atomic Layer Deposited Al2O3 with In-Situ H2O Prepulse Treatment,21
930,Fluorescent determination of zinc by a quinoline-based chemosensor in aqueous media and zebrafish,16
931,Dielectric resonator loaded high-gain half-mode substrate integrated waveguide triangular antenna for microwave imaging and radar applications,29
932,Valuing the attributes of remediation of maritime oil spills: An empirical case study in South Korea,5
933,Compact catadioptric wide imaging with secondary planar mirror,16
934,Blockchain-based secure storage management with edge computing for IoT,15
935,Development of failure cause-impact-duration (CID) plots for water supply and distribution system management,13
936,Uncertainty assessment in drought severities for the Cheongmicheon watershed using multiple GCMs and the reliability ensemble averaging method,17
937,Evaluation of empirical reference evapotranspiration models using compromise programming: A case study of Peninsular Malaysia,17
938,A novel motorized bending apparatus for surgical plates,13
939,A high-throughput and power-efficient fpga implementation of yolo cnn for object detection,15
940,Tax benefits for preventing and supporting catastrophic health expenditures: Ex-ante versus ex-post governmental financial support,26
941,Topology Optimization and Additive Manufacturing of Customized Sports Item Considering Orthotropic Anisotropy,8
942,Remote control of biofouling by heating PDMS/MnZn ferrite nanocomposites with an alternating magnetic field,34
943,Cyclic Lateral Load Test for RC Column-Steel Beam Joints with Simplified Connection Details,13
944,Fabrication of Conductive Patterns on 3D Printed Structure Using Photo-Polymerization Technology,8
945,An integral equation approach for optimal investment policies with partial reversibility,5
946,Squid-Inspired Smart Window by Movement of Magnetic Nanoparticles in Asymmetric Confinement,9
947,Static hydrothermal processing and fractionation for production of a collagen peptide with anti-oxidative and anti-aging properties,22
948,Optical and electrical effects of nanobump structure combined with an undulated active layer on plasmonic organic solar cells,9
949,Ti plate with TiO2 nanotube arrays as a novel cathode for nitrate reduction,9
950,Research Impact on Emerging Quantum Materials for Electrochromic Applications,9
951,Preparation and characterization of novel pseudo ceramide liposomes for the transdermal delivery of baicalein,22
952,A blockchain-based decentralized efficient investigation framework for IoT digital forensics,15
953,Characteristics of Annual and Seasonal Trends of Rainfall and Temperature in Iraq,17
954,A comprehensive study on APT attacks and countermeasures for future networks and communications: challenges and solutions,15
955,Simple and rapid detection of bisphenol A using a gold nanoparticle-based colorimetric aptasensor,16
956,Model predictive control of uninterruptible power supply with robust disturbance observer,2
957,Highly sensitive dansyl-based chemosensor for detection of Cu2+ in aqueous solution and zebrafish,16
958,Probing unitarity violation in the tail of the off-shell Higgs boson in VLVL mode,29
959,"Intense pulse light sintering of an Ag microparticle-based, highly stretchable, and conductive electrode",9
960,Nitrate reduction on surface of Pd/Sn catalysts supported by coal fly ash-derived zeolites,34
961,Changing characteristics of meteorological droughts in Nigeria during 1901–2010,17
962,Gas Sensor by Direct Growth and Functionalization of Metal Oxide/Metal Sulfide Core-Shell Nanowires on Flexible Substrates,9
963,Looking into Service Representation Tools through the Multidimensional Nature of Service Experience,15
964,Introduction to the special issue on advances in multimedia and educational technology,21
965,Study of infiltration through sliding windows with respect to closing mechanisms and their locations in a building during winter season,13
966,Blockchain-based secure device management framework for an Internet of Things network in a smart city,15
967,A framework for improving reliability of water distribution systems based on a segment-based minimum cut-set approach,30
968,Efficient Deep Gaussian Process Models for Variable-Sized Inputs,4
969,BlockDeepNet: A blockchain-based secure deep learning for IoT network,15
970,Smart contract-based pool hopping attack prevention for blockchain networks,15
971,IoT-based Safety Recognition Service for Construction Site,15
972,Flexible Scene Composition Method for Companion Screen Service based MMT-CI,29
973,Quality characteristics and antioxidant activities of strawberries according to various extraction methods,22
974,High-stable RF-frequency generation using a microcontroller for amplitude modulation based absolute distance measurement,2
975,Cinnamon subcritical water extract attenuates intestinal inflammation and enhances intestinal tight junction in a Caco-2 and RAW264.7 co-culture model,22
976,Assessment of a stream gauge network using upstream and downstream runoff characteristics and entropy,17
977,Performance comparison of interpolation operators of multi-grid method based on a distance weighted and area (volume) intersection approaches Part II: Finite element discretization,15
978,Optimal share of natural gas in the electric power generation of South Korea: A note,5
979,Atomic Layer Deposition for Surface Engineering of Solid Oxide Fuel Cell Electrodes,9
980,"Interface trap characterization of AlN/GaN heterostructure with Al2O3, HfO2, and HfO2/Al2O3 dielectrics",21
981,Flow rate based framework for solving viscoplastic flow with slip,8
982,Reduction of the Hysteresis Voltage in Atomic-Layer-Deposited p-Type SnO Thin-Film Transistors by Adopting an Al2O3 Interfacial Layer,9
983,"Colorimetric Detection of Co2+, Cu2+, and Zn2+ by a Multifunctional Chemosensor in Aqueous Solution",16
984,Optimization of the collimator mask for the rotational modulation collimator-based gamma-ray/neutron dual-particle imager,16
985,"Comparing the functional recognition of aesthetics, hydrology, and quality in urban stream restoration through the framework of environmental perception",5
986,Surface modification of poly(vinyl alcohol) sponge by acrylic acid to immobilize Prussian blue for selective adsorption of aqueous cesium,9
987,Preparation of silicon oxide–carbon composite from benzene and trimethoxyphenylsilane by a liquid phase plasma method for supercapacitor applications,9
988,Evolution of specimen strain rate in split Hopkinson bar test,13
989,Blockchain-Based Distributed Framework for Automotive Industry in a Smart City,15
990,A user experience environment model for human activity simulation,15
991,SnO-decorated TiO 2 nanoparticle with enhanced photocatalytic performance for methylene blue degradation,9
992,Dewetting behavior of Ag in Ag-coated Cu particle with thick Ag shell,21
993,A thiol-containing colorimetric chemosensor for relay recognition of Cu2+ and S2− in aqueous media with a low detection limit,22
994,Prussian blue immobilized cellulosic filter for the removal of aqueous cesium,9
995,High-efficiency soft-switching step-up DC-DC converter derived from a synchronous boost converter,2
996,DG.O 2020: Governance in the era of data intelligence,4
997,Percolation effect of V 2 O 5 nanorod/graphene oxide nanocomposite films for stable fast-switching electrochromic performances,9
998,Blending polybenzimidazole with an anion exchange polymer increases the efficiency of vanadium redox flow batteries,9
999,SHSec: SDN based Secure Smart Home Network Architecture for Internet of Things,15
1000,A robust emulation of mechanical loads using a disturbance-observer,2
1001,"Trends analysis of rainfall and rainfall extremes in Sarawak, Malaysia using modified Mann–Kendall test",17
1002,Financial connectedness revisited: the role of Fama-French risk factors,5
1003,Microstructure-based prediction of yield ratio and uniform elongation in high-strength bainitic steels using multiple linear regression analysis,13
